name,address
Barren River Lake State Resort Park,"1149 State Park Rd Lucas, KY 42156"
Boots Randolph Golf Course,"US Hwy 68 & Hwy 1489 Cadiz, KY 42211"
Bright Leaf Golf Resort,"1742 Danville Rd Harrodsburg, KY 40330"
Calvert City Golf & Country Club,"123 Country Club Ln Calvert City, KY 42029"
Carter Caves State Resort Park Golf Course,"Route 5 Olive Hill, KY 41164"
Dale Hollow Lake State Resort Park Golf Course,"6371 State Park Road Burkesville, KY 42717"
General Burnside Island State Park,"8801 South Hwy 27 Burnside, KY 42519"
Grayson Lake Golf Course,"314 Grayson Lake Park Road Olive Hill, KY 41164"
John James Audubon State Park Golf Course,"3100 US Highway 41 North Henderson, KY 42420"
Kentucky Dam Village State Resort Park,"Hwy 641 S Gilbertsville, KY 42044"
Lake Barkley Golf Course,"3500 State Park Road Hwy 68 Cadiz, KY 42211"
Lake Cumberland Golf Club ,"500 Lily Creek Resort Road Jamestown, KY 42629"
Lincoln Homestead State Park Golf Course,"5079 Lincoln Park Rd Springfield, KY 40069"
My Old Kentucky Home State Park Golf Course,"668 Loretto Road Bardstown, KY 40004"
Park Mammoth Golf Club ,"823 Bald Knob Road Park City, KY 42160"
Pennyrile Forest State Park Resort,"20781 Pennyrile Lodge Rd Dawson Springs, KY 42408"
Tanglewood Golf Course,"245 Tanglewood Ct Taylorsville, KY 40071"
The Cullan at Mineral Mound State Park Golf Club,"48 Finch Lane Eddyville, KY 42038"
Wasioto Winds Golf Course at Pine Mountain,"1050 State Park Rd Pineville, KY 40977"
Yatesville Lake State Park Golf Course,"1410 Golf Course Road Louisa, KY 41230"
A. J. Jolly Golf Course,"5350 S US Hwy 27 Alexandria, KY 41001"
American Legion Park Par 3 Golf Course,"N Miles St at Park Ln Elizabethtown, KY 42701"
Andover Golf & Country Club,"3450 Todds Rd Lexington, KY 40509"
Arrowhead Golf Club,"14 Arrowhead Blvd Cadiz, KY 42211"
Audubon Country Club,"3265 Robin Rd Louisville, KY 40213"
Avon Golf Course,"5751 Briar Hill Rd Lexington, KY 40516"
Ballard County Country Club,"2145 LaCenter Rd LaCenter, KY 42056"
Bardstown Country Club at Maywood,"130 Maywood Avenue Bardstown, KY 40004"
Battlefield Golf Course,"524 General Cruft Dr Richmond, KY 40475"
Beattyville Country Club,"Country Club Rd Beattyville, KY 41311"
Beaver Valley Golf Course,"Golf Course Rd Allen, KY 41601"
Beechfork Golf Club,"1476 Pompeii Rd Clay City, KY 40312"
Bellarmine College Golf Course ,"2000 Norris Pl Louisville, KY 40205"
Bellefonte Country Club,"208 Country Club Dr Ashland, KY 41101"
Ben Hawes Park Golf Course,"400 Boothfield Rd Owensboro, KY 42301"
Benton Golf & Country Club,"1830 Golf Course Rd Benton, KY 42025"
Berea Country Club,"104 Churchill Court Berea, KY 40403"
Big Hickory Golf Course & Country Club,"Rural Route 5 Manchester, KY 40962"
Big Spring Country Club,"5901 Dutchmans Ln Louisville, KY 40205"
Bobby Nichols Golf Course,"4301 E Pages Ln Louisville, KY 40272"
Boone Links Golf Course,"19 Clubhouse Dr Florence, KY 41042"
Bowling Green Country Club,"251 Beech Bend Rd Bowling Green, KY 42101"
Breckenridge County Community Center,"Hwy 261 S Hardinsburg, KY 40143"
Breckenridge Golf & Country Club,"240 Whitaker Way Morganfield, KY 42437"
Campbellsville Country Club,"3064 Hodgenville Rd. Campbellsville, KY 42718"
Canewood Golf Course,"124 General John Payne Georgetown, KY 40324"
Cardinal Club,"401 Champions Way Simpsonville, KY 40067"
Cardinal Hills Golf Course,"Rural Route 2 Bedford, KY 40006"
Carnico Golf Club,"800 Lakeside Dr Carlisle, KY 40311"
Cassell Creek Golf Course,"4199 Lexington Rd Winchester, KY 40391"
Caveland Country Club,"2968 S Dixie Hwy Horse Cave, KY 42749"
Caveland Par 3,"6172 Happy Valley Rd Cave City, KY 42127"
Cedar Point Golf Course,"21676 Louisville Rd Park City, KY 42160"
Cedar Rapids Country Club,"US Hwy 150 W Mount Vernon, KY 40456"
Cedar-Fil Golf Course,"2330 New Shepherdsville Rd Bardstown, KY 40004"
Central City Country Club,"Fairway Dr Central City, KY 42330"
Charlie Vettiner Golf Course,"10207 Mary Dell Lane Louisville, KY 40299"
Cherokee Golf Course,"2501 Alexander Rd Louisville, KY 40204"
Cherry Blossom Golf Club,"150 Clubhouse Drive Georgetown, KY 40324"
Cherry Grove Golf Course,"1006 Dixie Bee Line Hwy Trenton, KY 42286"
Clear Creek Golf Course,"717 Burks Branch Rd Shelbyville, KY 40065"
Coal Ridge Golf Course,"100 Coal Ridge Ln Georgetown, KY 40324"
Cole Park Golf Course,"1601 Club Loop Fort Campbell, KY 42223"
Connemara Golf Course,"2327 Lexington Rd Nicholasville, KY 40356"
Country Club of Paducah,"6500 Turnberry Dr Paducah, KY 42001"
Crescent Hill Golf Course,"3110 Brownsboro Rd Louisville, KY 40206"
Crooked Creek Golf Club,"781 Crooked Creek Dr London, KY 40744"
CrossWinds Golf Course,"1031 Wilkinson Trace Bowling Green, KY 42103"
Cynthiana Country Club,"1127 Ky Highway 36 E Cynthiana, KY 41031"
Danville Country Club,"1486 Lexington Avenue Danville, KY 40422"
Deer Lakes Golf Course,"140 Deer Lakes Lane Salem, KY 42078"
Devou Park Golf Course,"1344 Audubon Rd Covington Covington, KY 41011"
Diamond Caverns Resort & Golf Club,"660 Doyle Rd Park City, KY 42160"
Diamond Links Golf Club,"200 Fairway Dr Catlettsburg, KY 41129"
Dix River Country Club,"Lancaster Rd Stanford, KY 40484"
Doe Valley Golf Club,"540 Valley Green Road Brandenburg, KY 40108"
Dogwood Hills,"Hwy 62 Cunningham, KY 42035"
Drake Creek Country Club,"1 Torrey Pines Dr Ledbetter, KY 42058"
Duckers Lake Golf Course,"98 Buena Vista Drive Frankfort, KY 40601"
Dunmor Lakeside Golf Course,"Hwy 973 Dunmor, KY 42339"
Eagle Creek,"2820 S Hwy 53 La Grange, KY 40031"
Eagle Creek Country Club,"990 Critttenden Rd Mt Zion Crittenden, KY 41030"
Eagle Trace Golf Course,"1275 Eagle Drive Morehead, KY 40351"
Eagles Nest Country Club,"2320 Clubhouse Rd. Somerset, KY 42503"
Elizabethtown Country Club,"2606 Hodgenville Rd Elizabethtown, KY 42701"
Elk Fork Country Club,"West Main St Elkton, KY 42220"
Elkwood Golf Course,"Hwy 10911675 Hwy 60 W Sturgis, KY 42459"
Estill County Golf Club,"Kirkland Ave Irvine, KY 40336"
Fairway Golf Course,"4940 Hwy 227 N Wheatley, KY 40359"
Flagg Springs Golf Course,"3670 Smith Rd. California, KY 41007"
Fleming County Golf Association,"Route 3 Flemingsburg, KY 41041"
Fort Mitchell Country Club,"250 Fort Mitchell Ave Fort Mitchell, KY 41011"
Fox Hollow Golf Club,"280 Club House Ln Glasgow, KY 42141"
Fox Run - Kenton County,"3908 Richardson Rd Independence, KY 41051"
Frankfort Country Club,"101 Duntreath St Frankfort, KY 40601"
Franklin Country Club,"302 Broadway Ave Franklin, KY 42134"
"Gay Brewer, Jr. Course at Picadome","469 Parkway Drive Lexington, KY 40504"
General Butler State Resort ,"1608 Highway 227 Carrollton, KY 41008"
Gibson Bay Golf Course,"2000 Gibson Bay Dr Richmond, KY 40475"
Glasgow Golf & Country Club,"350 Country Club Ln Glasgow, KY 42141"
Glenmary Golf Club,"10200 Glenmary Farm Dr Louisville, KY 40291"
GlenOaks Country Club,"10601 Worthington Ln Prospect, KY 40059"
Golf Course at Riverview,"1200 West Main Street Bowling Green, KY 42104"
Green County Country Club,"158 Golf Course Rd Greensburg, KY 42743"
Green Meadow Country Club,"6887 North Mayo Trail Pikeville, KY 41501"
Greenbrier Golf & Country Club,"2179 Bahama Rd Lexington, KY 40509"
Greenville Country Club,"Elkton Rd Greenville, KY 42345"
Griffin Gate Golf Club,"1800 Newtown Pike Lexington, KY 40511"
Harlan Country Club,"Hwy 421 South Harlan, KY 40831"
Harmony Landing Country Club,"13201 Reading Rd Goshen, KY 40026"
Hazard Country Club,"102 Cardinal Dr Hazard, KY 41701"
Henderson Country Club,"1030 Country Club Dr Henderson, KY 42420"
Henderson Municipal Golf Course,"1801 N Elm St Henderson, KY 42420"
Henry County Country Club,"2200 Campbellsburg Road New Castle, KY 40050"
Heritage Hill Golf Club,"1050 Valley View Drive Shepherdsville, KY 40165"
Hickman Country Club,"2779 State Route 125 Hickman, KY 42050"
Hickory Hills Country Club,"1552 Short Town Rd Liberty, KY 42539"
Hickory Pointe Golf Course,"6740 Flemingsburg Rd Morehead, KY 40351"
Hickory Sticks Golf Club,"3812 Painter Rd California, KY 41007"
Hidden Hills Golf & Country Club,"586 Country Club Lane Tompkinsville, KY 42167"
Hidden Valley Golf Course,"530 Hidden Valley Rd Morgantown, KY 42261"
Highland Country Club,"931 Alexandria Pike Fort Thomas, KY 41075"
Hillcrest Country Club,"517 Lawrence St Brandenburg, KY 40108"
Hillcrest Municipal Golf Course,"1234 owensboro, ky 1234"
Hobson Grove Golf Course,"W Main St Bowling Green, KY 42101"
Hopkinsville Golf & Country Club,"303 Country Club Ln Hopkinsville, KY 42240"
Houston Oaks Golf Course,"555 Houston Oaks Drive Paris, KY 40361"
Hunting Creek Country Club,"6807 Foxcroft Road Prospect, KY 40059"
Hurstbourne Country Club,"9000 Hurstbourne Club Lane Louisville, KY 40222"
Idle Hour Country Club,"1815 Richmond Rd Lexington, KY 40502"
Indian Hills Country Club,"200 Indian Hills Dr Bowling Green, KY 42103"
Indian Springs Country Club,"Route 6 Barbourville, KY 40906"
Indian Springs Golf Club ,"3408 Indian Lake Dr Louisville, KY 40241"
Iroquois Golf Course,"1501 Rundill Rd Louisville, KY 40214"
Jenny Wiley State Resort Park,"75 Jenny Wiley Theater Ct Prestonsburg, KY 41653"
Juniper Hills Golf Course,"800 Louisville Rd Frankfort, KY 40601"
Kearney Hills Golf Links,"3403 Kearney Rd Lexington, KY 40511"
Keene Trace Golf Club - Champion Trace Course,"20 Ave of Champions Nicholasville, KY 40356"
Keene Trace Golf Club - Keene Run Course,"5600 Harrodsburg Road Nicholasville, KY 40356"
Kenlake State Resort Park,"542 Kenlake Rd Hardin, KY 42048"
Kenny Perrys Country Creek Golf Course,"1075 Kenny Perry Dr Franklin, KY 42134"
Kentucky Hills Golf Course,"6198 Randolph-Summer Shd Summer Shade, KY 42166"
Kerry Landing Golf Course,"805 Valhalla Ln Benton, KY 42025"
Kincaid Lake State Park,"565 Kincaid Park Road Falmouth, KY 41040"
Knob View Golf Course,"11980 S Preston Hwy Lebanon Junction, KY 40150"
Lafayette Golf Club,"57 Jennie Green Rd Falls of Rough, KY 40119"
