name,address
Bear Trace at Cumberland Mountain State Park,"407 Wild Plum Ln Crossville, TN 38555"
Bear Trace at Harrison Bay State Park,"8919 Harrison Bay Rd Harrison, TN 37341"
Bear Trace at Tims Ford State Park,"891 Wiseman Bend Winchester, TN 37398"
Fairfield Glade Dorchester Golf Club ,"576 Westchester Dr. Fairfield Glade, TN 38558"
Fairfield Glade Druid Hills Golf Course ,"435 Lakeview Drive Fairfield Glade, TN 38558"
Fairfield Glade Heatherhurst Brae Golf Course,"421 Stonehenge Drive Fairfield Glade, TN 38558"
Fairfield Glade Heatherhurst Crag Golf Course,"421 Stonehenge Drive Fairfield Glade, TN 38558"
Fairfield Glade Stonehenge,"222 Fairfield Boulevard Fairfield Glade, TN 38558"
Fall Creek Falls State Park Golf Course,"626 Golf Course Road Spencer, TN 38585"
Henry Horton State Park Golf Course,"4358 Nashville Hwy Chapel Hill, TN 37034"
Hermitage Golf Course - General's Retreat,"3939 Old Hickory Blvd Old Hickory, TN 37138"
Hermitage Golf Course - President's Reserve,"3939 Old Hickory Blvd Old Hickory, TN 37138"
Lake Tansi Resort Golf Course,"2476 Dunbar Road Crossville, TN 38555"
Montgomery Bell State Park Golf Course,"800 Hotel Avenue Burns, TN 37029"
Paris Landing State Park Golf Course,"16055 Highway 79 North Buchanan, TN 38222"
Pickwick Landing State Park Golf Course,"60 Winfield Dunn Lane Pickwick Dam, TN 38365"
Tellico Village - Tanasi Golf Club,"450 Clubhouse Pt Loudon, TN 37774"
Tellico Village - Toqua Golf Club,"200 Toqua Golf Club Way Loudon, TN 37774"
Warriors Path State Park Golf Course,"1687 Fall Creek Rd Kingsport, TN 37664"
Windriver Golf Club,"Off Hwy 72 Tellico Lake Vonore, TN 37855"
Andrew Johnson Golf Club,"615 Lick Hollow Rd Greeneville, TN 37743"
Arnold Golf Course,"Bldg 2815 Arnold AFB, TN 37389"
Audubon Golf Course,"4160 Park Ave Memphis, TN 38117"
Avalon Country Club,"1299 Oak Chase Blvd Lenoir City, TN 37772"
Baileyton Golf Club,"7925 Horton Hwy Greeneville, TN 37745"
Bays Mountain Golf Course,"685 Chris Haven Dr Seymour, TN 37865"
Bear Trace at Ross Creek Landing,"110 Airport Rd Clifton, TN 38425"
Beaver Brook Golf & Country Club,"2910 Cunningham Rd Knoxville, TN 37918"
Belle Acres Golf Course,"901 E Broad St Cookeville, TN 38501"
Belle Meade Country Club,"815 Belle Meade Blvd Nashville, TN 37205"
Bent Creek Golf Resort,"3919 E Parkway Gatlinburg, TN 37738"
Bent Tree Golf Course,"2993 Paul Coffman Dr Jackson, TN 38301"
Beverly Park Par 3 Golf Course ,"5311 Beverly Park Circle Knoxville, TN 37918"
Big Creek Golf Club,"6195 Woodstock Cuba Rd Millington, TN 38053"
Black Creek Club,"4700 Cummings Cove Dr Chattanooga, TN 37419"
Blackberry Ridge Golf Club,"3824 Hwy 231 N Shelbyville, TN 37160"
Bluegrass Yacht & Country Club,"550 Johnny Cash Pkwy Hendersonville, TN 37075"
Brainerd Golf Course,"5203 Old Mission Rd Chattanooga, TN 37411"
Brentwood Country Club,"5120 Country Club Dr Brentwood, TN 37027"
Brown Acres Golf Course,"406 Brown Rd Chattanooga, TN 37421"
Brownsville Country Club,"1249 Country Club Rd Brownsville, TN 38012"
Buffalo River Country Club,"Hwy 13 Lobelville, TN 37097"
Buffalo Valley Golf Course,"90 Country Club Dr Unicoi, TN 37692"
BurwoodHall Country Estates,"5573 Carters Creek Pike Thompsons Station, TN 37179"
Camelot Golf Course,"Hwy 66 Rogersville, TN 37857"
Carroll Lake Golf Club,"1305 Carroll Lake Rd McKenzie, TN 38201"
Cattails at MeadowView Golf Course,"1901 MeadowView Pkwy Kingsport, TN 37660"
Cedar Crest Golf Course,"7972 Mona Road Murfreesboro, TN 37129"
Cedar Hills Golf Club,"100 Beals Chapel Rd Lenoir City, TN 37772"
Centennial Golf Course,"100 Centennial Blvd Oak Ridge, TN 37830"
Chatata Valley Golf Course,"4179 Benton Pike NE Cleveland, TN 37323"
Chattanooga Golf & Country Club,"1511 Riverview Rd Chattanooga, TN 37405"
Cherokee Country Club,"5205 Lyons View Dr Knoxville, TN 37919"
Cherokee Springs Golf Course,"3855 Dalton Pike SE Cleveland, TN 37323"
Chickasaw Country Club,"3395 Galloway Ave Memphis, TN 38122"
Chickasaw Golf Course,"9555 State Route 100 W Henderson, TN 38340"
Clarksville Country Club,"334 Fairway Dr Clarksville, TN 37043"
Cleveland Country Club,"345 Kyle Ln Cleveland, TN 37312"
Clinchview Golf & Country Club,"Hwy 11 W Bean Station, TN 37708"
Colonial Country Club,"2736 Country wood Pkwy Cordova, TN 38018"
Concord Golf Club,"7 Radmoor Ln Chattanooga, TN 37421"
Cookeville Country Club,"1500 Country Club Rd Cookeville, TN 38501"
Copper Basin Golf Club,"Hwy 64 Copperhill, TN 37317"
Cordova Club Golf Course,"7363 CryStal Lake Dr Cordova, TN 38018"
Council Fire Golf Club,"100 Council Fire Dr Chattanooga, TN 37421"
Country Club of Bristol,"6045 Old Jonesboro Rd Bristol, TN 37620"
Country Club of Franklin,"1353 Carnton Ln Franklin, TN 37064"
Country Hills Golf Club,"1501 Sandersville Rd Hendersonville, TN 37075"
Covington Country Club,"1880 S Main Covington, TN 38019"
Creeks Bend Golf Club,"5900 Hixson Pike Hixson, TN 37343"
Crockett Golf & Country Club,"Egghill Rd Alamo, TN 38001"
Crocketts Ridge Golf Club,"4439 L Jack Drive Kingsport, TN 37664"
Cumberland Bend Golf Course,"255 Blue Devils Ln Gainesboro, TN 38562"
Cumberland Cove Golf Course,"16941 Highway 70 N Monterey, TN 38574"
Cumberland Gardens Resort,"Hwy 70 E Crab Orchard, TN 37723"
Dandridge Golf & Country Club,"1247 Stonewall Jackson Dr Dandridge, TN 37725"
Davy Crockett Golf Course,"4382 Range Line Rd Memphis, TN 38127"
Dayton Golf & Country Club,"315 Payne Ln Evensville, TN 37332"
Dead Horse Lake Golf Course,"555 Frank Gardner Lane Knoxville, TN 37932"
Deer Creek Golf Club,"135 Golf Dr Saulsbury, TN 38067"
Dickson Country Club,"800 Hwy 70 W Dickson, TN 37055"
Dixie Oaks Golf Club,"76 Pleasant Garden Rd Summertown, TN 38483"
Doe Valley Golf Center,"9786 Reams Rd South Fulton, TN 38257"
Dogwood Hills Country Club,"1224 S Broadway Portland, TN 37148"
Dyersburg Municipal Golf Course,"1358 Golf Course Rd Dyersburg, TN 38024"
Eagle Bluff Golf Club,"5808 Clubhouse Dr Chattanooga, TN 37416"
Eastland Green South,"4674 Sango Rd Clarksville, TN 37043"
Egwani Farms Golf Course,"3920 Singleton Station Rd Rockford, TN 37853"
Elizabethton Golf Course,"Golf Club Rd Elizabethton, TN 37643"
Emory Golf & Country Club,"201 Westberry Heights Dr Harriman, TN 37748"
Executive Meadows Golf Course,"500 Executive Meadows Dr Lenoir City, TN 37771"
Falcon Ridge Golf Club,"400 Summit Chase Rd Cedar Grove, TN 38321"
Fayetteville Golf & Country Club,"2216 Lewisburg Hwy Fayetteville, TN 37334"
Fisherdale Golf Resort,"Riverview Dr Decaturville, TN 38329"
Forest Hills Golf Course,"200 Kubo Rd Drummonds, TN 38023"
Fox Den Country Club,"12284 N Fox Den Dr Farragut, TN 37922"
Fox Meadows Golf Course,"3064 Clarke Rd Memphis, TN 38115"
Franklin Bridge Golf Club,"750 Riverview Drive Franklin, TN 37064"
Franklin County Country Club,"912 Country Club Rd Winchester, TN 37398"
Fulton Country Club,"Country Club Rd South Fulton, TN 38257"
Futures Golf Club,"1120 Country Club Rd Puryear, TN 38251"
Gallatin Country Club,"1501 E Main St Gallatin, TN 37066"
Gatlinburg Golf Course,"520 Dollywood Ln Pigeon Forge, TN 37863"
Gaylord Springs Golf Links,"18 Springhouse Lane Nashville, TN 37214"
Germantown Country Club,"1780 Kimbrough Rd Germantown, TN 38138"
"Gettysvue Polo, Golf & Country Club","9317 Linksview Dr Knoxville, TN 37922"
Graymere Country Club,"2100 Country Club Ln Columbia, TN 38401"
Graysburg Hills Golf Course,"910 Graysbung Hills Rd Chuckey, TN 37641"
