code,state,population
AK,Alaska,733406.0
AL,Alabama,5108468.0
AR,Arkansas,3067732.0
AZ,Arizona,7431344.0
CA,California,38965193.0
CO,Colorado,5877610.0
CT,Connecticut,3617176.0
DC,District of Columbia,678972.0
DE,Delaware,1031890.0
FL,Florida,22610726.0
GA,Georgia,11029227.0
HI,Hawaii,1435138.0
IA,Iowa,3207004.0
ID,Idaho,1964726.0
IL,Illinois,12549689.0
IN,Indiana,6862199.0
KS,Kansas,2940546.0
KY,Kentucky,4526154.0
LA,Louisiana,4573749.0
MA,Massachusetts,7001399.0
MD,Maryland,6180253.0
ME,Maine,1395722.0
MI,Michigan,10037261.0
MN,Minnesota,5737915.0
MO,Missouri,6196156.0
MS,Mississippi,2939690.0
MT,Montana,1132812.0
NC,North Carolina,10835491.0
ND,North Dakota,783926.0
NE,Nebraska,1978379.0
NH,New Hampshire,1402054.0
NJ,New Jersey,9290841.0
NM,New Mexico,2114371.0
NV,Nevada,3194176.0
NY,New York,19571216.0
OH,Ohio,11785935.0
OK,Oklahoma,4053824.0
OR,Oregon,4233358.0
PA,Pennsylvania,12961683.0
PR,Puerto Rico,3205691.0
RI,Rhode Island,1095962.0
SC,South Carolina,5373555.0
SD,South Dakota,919318.0
TN,Tennessee,7126489.0
TX,Texas,30503301.0
UT,Utah,3417734.0
VA,Virginia,8715698.0
VT,Vermont,647464.0
WA,Washington,7812880.0
WI,Wisconsin,5910955.0
WV,West Virginia,1770071.0
WY,Wyoming,584057.0
